compendium_hospital_id,ccn,hospital_name,hospital_street,hospital_city,hospital_state,hospital_zip,acutehosp_flag,health_sys_id,health_sys_name,health_sys_city,health_sys_state,corp_parent_id,corp_parent_name,corp_parent_type,hos_beds,hos_dsch,hos_res,hos_children,hos_majteach,hos_vmajteach,hos_teachint,hos_highdpp,hos_ucburden,hos_highuc,hos_ownership,hos_net_revenue,hos_total_revenue
CHSP00000003,390163,Armstrong County Memorial,One Nolte Drive,Kittanning,PA,16201,1,HSI00000051,Armstrong County Memorial Hospital,Kittanning,PA,18155944,ARMSTRONG COUNTY MEMORIAL HOSPITAL,INTEGRATED DELIVERY NETWORK (IDN),95,2833,0,0,0,0,0,0,0.0352827479,0,1,119911605,463759916
CHSP00000004,050226,Anaheim Regional Medical Center,1111 West La Palma Avenue,Anaheim,CA,92801,1,,,,,18146292,AHMC HEALTHCARE INC,INTEGRATED DELIVERY NETWORK (IDN),223,6708,0,0,0,0,0,1,0.1046410145,1,5,158212291,958154036
CHSP00000006,292007,Las Vegas Amg Specialty Hospital,4015 Mcleod Drive,Las Vegas,NV,89121,0,,,,,17882581,AMG INTEGRATED HEALTHCARE MANAGEMENT,INTEGRATED DELIVERY NETWORK (IDN),24,132,0,0,0,0,0,0,,0,5,8659055,16020587
CHSP00000007,152025,Central Indiana-Amg Specialty Hospit,"2401 West University Avenue, 8th Floor",Muncie,IN,47303,0,,,,,17882581,AMG INTEGRATED HEALTHCARE MANAGEMENT,INTEGRATED DELIVERY NETWORK (IDN),41,658,0,0,0,0,0,0,,0,5,24669445,45026758
CHSP00000010,322003,Albuquerque - Amg Specialty Hospital,"5400 Gibson Boulevard Se, 3rd Floor",Albuquerque,NM,87108,0,,,,,17882581,AMG INTEGRATED HEALTHCARE MANAGEMENT,INTEGRATED DELIVERY NETWORK (IDN),32,341,0,0,0,0,0,0,,0,5,20173157,40620537
CHSP00000011,192008,Sage Specialty Care Hospital,8375 Florida Boulevard,Denham Springs,LA,70726,0,,,,,26516306,THE CARPENTER HEALTH NETWORK,INTEGRATED DELIVERY NETWORK (IDN),59,475,0,0,0,0,0,0,,0,5,18381300,66886149
CHSP00000015,192037,Houma - Amg Specialty Hospital,629 Dunn Street,Houma,LA,70360,0,,,,,17882581,AMG INTEGRATED HEALTHCARE MANAGEMENT,INTEGRATED DELIVERY NETWORK (IDN),40,268,0,0,0,0,0,0,,0,5,12047135,28459925
CHSP00000016,192029,Ltac Of Louisiana  Llc,"4811 Ambassador Caffery Parkway, 4th Floor",Lafayette,LA,70508,0,,,,,17882581,AMG INTEGRATED HEALTHCARE MANAGEMENT,INTEGRATED DELIVERY NETWORK (IDN),18,239,0,0,0,0,0,0,,0,5,13458285,26497150
CHSP00000019,140122,Adventist Hinsdale Hospital,120 North Oak Street,Hinsdale,IL,60521,1,HSI00000010,AdventHealth,Altamonte Springs,FL,17773293,ADVENTHEALTH,INTEGRATED DELIVERY NETWORK (IDN),244,9313,27.68,0,0,0,0.113442623,0,0.0766100089,0,2,315202795,1109283278
CHSP00000020,140304,Ucm Adventhealth Bolingbrook,500 Remington Boulevard,Bolingbrook,IL,60440,1,HSI00000010,AdventHealth,Altamonte Springs,FL,17773293,ADVENTHEALTH,INTEGRATED DELIVERY NETWORK (IDN),110,5531,0,0,0,0,0,0,0.1172488096,1,2,216543365,845859979
CHSP00000023,140258,Alexian Brothers Medical Center,800 Biesterfield Road,Elk Grove Village,IL,60007,1,HSI00000055,Ascension Health,Saint Louis,MO,17773929,ASCENSION,INTEGRATED DELIVERY NETWORK (IDN),282,14809,1.73,0,0,0,0.0061347518,0,0.0271106281,0,2,474503449,2272001251
CHSP00000024,140292,Ucm Adventhealth Glenoaks,701 Winthrop Avenue,Glendale Heights,IL,60139,1,HSI00000010,AdventHealth,Altamonte Springs,FL,17773293,ADVENTHEALTH,INTEGRATED DELIVERY NETWORK (IDN),122,4087,0,0,0,0,0,0,0.1763477292,1,2,106352659,368762706
CHSP00000025,140290,St. Alexius Medical Center,1555 Barrington Road,Hoffman Estates,IL,60169,1,HSI00000055,Ascension Health,Saint Louis,MO,17773929,ASCENSION,INTEGRATED DELIVERY NETWORK (IDN),313,16949,11,0,0,0,0.03514377,0,0.0366781909,0,2,375069923,1773847168
CHSP00000027,421301,Abbeville Area Medical Center,420 Thomson Circle,Abbeville,SC,29620,1,,,,,19733092,QUORUM HEALTH CORP,INTEGRATED DELIVERY NETWORK (IDN),25,492,0,0,0,0,0,0,0.0641256377,0,3,41364324,94385382
CHSP00000028,190034,Abbeville General Hospital,118 North Hospital Drive,Abbeville,LA,70510,1,,,,,28170639,ABBEVILLE GENERAL HOSPITAL,INTEGRATED DELIVERY NETWORK (IDN),44,1454,0,0,0,0,0,1,0.0189184032,0,3,72096452,195006779
CHSP00000029,240057,Abbott Northwestern Hospital,800 East 28th Street,Minneapolis,MN,55407,1,HSI00000029,Allina Health,Minneapolis,MN,17773295,ALLINA HEALTH,INTEGRATED DELIVERY NETWORK (IDN),609,31277,50.98,0,0,0,0.0837110016,0,0.0170424507,0,1,1325685865,4252115813
CHSP00000030,454098,Oceans Behavioral Hospital Abilene,4225 Woods Pl,Abilene,TX,79602,0,,,,,18402918,OCEANS HEALTHCARE,CORPORATE OWNER,,,,,,,,,,,,,
CHSP00000031,450558,Hendrick Medical Center South,6250 Us Highway 83,Abilene,TX,79606,1,HSI00000471,Hendrick Health System,Abilene,TX,17773640,HENDRICK HEALTH SYSTEM,INTEGRATED DELIVERY NETWORK (IDN),,,,,,,,,,,,,
CHSP00000032,390231,Abington Memorial Hospital,1200 Old York Road,Abington,PA,19001,1,HSI00000048,Jefferson Health,Philadelphia,PA,17773319,JEFFERSON HEALTH,INTEGRATED DELIVERY NETWORK (IDN),588,30683,165.59,0,1,0,0.2816156463,0,0.0448858433,0,1,763018691,2692816617
CHSP00000033,390012,Lansdale Hospital,100 Medical Campus Drive,Lansdale,PA,19446,1,HSI00000048,Jefferson Health,Philadelphia,PA,17773319,JEFFERSON HEALTH,INTEGRATED DELIVERY NETWORK (IDN),140,5120,0,0,0,0,0,0,0.0348286603,0,1,93979746,399249297
CHSP00000034,141322,Lincoln Memorial Hospital,200 Stahlhut Drive,Lincoln,IL,62656,1,HSI00000648,Memorial Health System,Springfield,IL,17773957,MEMORIAL HEALTH SYSTEM,INTEGRATED DELIVERY NETWORK (IDN),25,536,0,0,0,0,0,0,0.016346939,0,1,64383318,189036114
CHSP00000036,030094,Abrazo Arrowhead Campus,18701 North 67th Avenue,Glendale,AZ,85308,1,HSI00001066,Tenet Healthcare,Dallas,TX,17774121,TENET HEALTHCARE,INTEGRATED DELIVERY NETWORK (IDN),270,14966,44.79,0,0,0,0.1658888889,0,0.0231787138,0,5,406369703,3910114132
CHSP00000037,030030,Abrazo Central Campus,2000 West Bethany Home Road,Phoenix,AZ,85015,1,HSI00001066,Tenet Healthcare,Dallas,TX,17774121,TENET HEALTHCARE,INTEGRATED DELIVERY NETWORK (IDN),153,5047,15.02,0,0,0,0.0981699346,1,0.0992733644,0,5,108441592,1180589039
CHSP00000039,030083,Abrazo Scottsdale Campus,3929 East Bell Road,Phoenix,AZ,85032,1,HSI00001066,Tenet Healthcare,Dallas,TX,17774121,TENET HEALTHCARE,INTEGRATED DELIVERY NETWORK (IDN),128,4701,0,0,0,0,0,0,0.1318831812,1,5,125264552,1266452639
CHSP00000040,030110,Abrazo West Campus,13677 West Mcdowell Road,Goodyear,AZ,85395,1,HSI00001066,Tenet Healthcare,Dallas,TX,17774121,TENET HEALTHCARE,INTEGRATED DELIVERY NETWORK (IDN),207,12364,37.15,0,0,0,0.179468599,0,0.0332771744,0,5,303286992,2918163221
CHSP00000041,191322,Ochsner - Abrom Kaplan Mh,1310 West Seventh Street,Kaplan,LA,70548,1,HSI00000780,Ochsner Health System,New Orleans,LA,17773459,OCHSNER HEALTH SYSTEM,INTEGRATED DELIVERY NETWORK (IDN),25,167,0,0,0,0,0,0,0.0151569706,0,1,24014267,40765908
CHSP00000042,190044,Acadia General Hospital,1305 Crowley Rayne Highway,Crowley,LA,70526,1,HSI00000780,Ochsner Health System,New Orleans,LA,17773459,OCHSNER HEALTH SYSTEM,INTEGRATED DELIVERY NETWORK (IDN),54,1564,0,0,0,0,0,0,0.0152284669,0,1,53325390,237726673
CHSP00000043,204006,Acadia Hospital,268 Stillwater Avenue,Bangor,ME,04401,0,HSI00000330,Northern Light Health,Brewer,ME,17773471,NORTHERN LIGHT HEALTH,INTEGRATED DELIVERY NETWORK (IDN),68,1666,0,0,0,0,0,0,,0,1,63980475,128013259
CHSP00000045,194078,Vermilion Behavioral Health Systems,1131 Rue Du Belier,Lafayette,LA,70506,0,,,,,18175663,ACADIA HEALTHCARE,CORPORATE OWNER,,,,,,,,,,,,,
CHSP00000046,194044,Acadia Vermilion Hospital,2520 North University Avenue,Lafayette,LA,70507,0,,,,,18175663,ACADIA HEALTHCARE,CORPORATE OWNER,78,3055,0,0,0,0,0,0,,0,5,19780158,57109084
CHSP00000048,191319,Acadia-St. Landry Hospital,810 South Broadway Street,Church Point,LA,70525,1,,,,,,,,15,32,0,0,0,0,0,0,0.0141601463,0,3,15546991,14093908
CHSP00000050,320070,Acoma-Canoncito-Laguna Hospital,80b Veterans Boulevard,Acoma,NM,87034,0,,,,,18138661,INDIAN HEALTH SERVICE,INTEGRATED DELIVERY NETWORK (IDN),,,,,,,,,,,,,
CHSP00000053,312023,Ssh - Atlantic City,"1925 Pacific Avenue, 7th Floor",Atlantic City,NJ,08401,0,,,,,17854767,SELECT MEDICAL CORP,INTEGRATED DELIVERY NETWORK (IDN),30,256,0,0,0,0,0,0,,0,5,21049903,156657873
CHSP00000058,161310,Adair County Memorial Hospital,609 Se Kent Street,Greenfield,IA,50849,1,HSI00001106,Trinity Health,Livonia,MI,17818070,TRINITY HEALTH,INTEGRATED DELIVERY NETWORK (IDN),25,87,0,0,0,0,0,0,0.0270752577,0,3,15480730,25109592
CHSP00000059,361326,Adams County Regional Medical Center,230 Medical Center Drive,Seaman,OH,45679,1,,,,,29301681,ADAMS COUNTY REGIONAL MEDICAL CENTER,INTEGRATED DELIVERY NETWORK (IDN),25,493,0,0,0,0,0,0,0.1296110875,1,1,36600457,122724869
CHSP00000060,151330,Adams Memorial Hospital,1100 Mercer Avenue,Decatur,IN,46733,1,,,,,18293483,ADAMS HEALTH NETWORK,INTEGRATED DELIVERY NETWORK (IDN),25,931,0,0,0,0,0,0,0.1391997715,1,3,80738416,159624725
CHSP00000061,220062,Adcare Hospital Of Worcester,107 Lincoln Street,Worcester,MA,01605,0,,,,,,,,114,4472,0,0,0,0,0,0,,0,5,32198050,62426881
CHSP00000063,361304,Greenfield Area Medical Center,550 Mirabeau Street,Greenfield,OH,45123,1,HSI00000008,Adena Health System,Chillicothe,OH,17780403,ADENA HEALTH SYSTEM,INTEGRATED DELIVERY NETWORK (IDN),25,147,0,0,0,0,0,0,0.1195405761,1,1,23549299,68159686
CHSP00000064,360159,Adena Regional Medical Center,272 Hospital Road,Chillicothe,OH,45601,1,HSI00000008,Adena Health System,Chillicothe,OH,17780403,ADENA HEALTH SYSTEM,INTEGRATED DELIVERY NETWORK (IDN),223,9884,35.45,0,0,0,0.1589686099,0,0.0584947352,0,1,490109441,1931509940
