facility_id,facility_name,city,state,zip_code,facility_type,ownership,facility_name_normalized,health_system,msp_gatekeeper,vms_software,msp_exclusive,ehr_system,radius_rule_miles,msp_notes,data_source,confidence,ccn,hos_beds,hos_dsch,corp_parent_name,hos_net_revenue,hos_ucburden
010001,SOUTHEAST HEALTH MEDICAL CENTER,DOTHAN,AL,36301,Acute Care Hospitals,Government - Hospital District or Authority,southeast health medical center,Southeast Health,,,,,,,cms_gov,high,010001,345.0,18800.0,SOUTHEAST HEALTH,435666482.0,0.0461428102
010005,MARSHALL MEDICAL CENTERS,BOAZ,AL,35957,Acute Care Hospitals,Government - Hospital District or Authority,marshall medical centers,,,,,,,,cms_gov,high,010005,182.0,6846.0,HEALTHGROUP OF ALABAMA,199663299.0,0.0459829478
010006,NORTH ALABAMA MEDICAL CENTER,FLORENCE,AL,35630,Acute Care Hospitals,Proprietary,north alabama medical center,LifePoint Health,HealthTrust,Unknown,True,Mixed,50.0,,cms_gov,high,010006,223.0,11307.0,LIFEPOINT HEALTH,259452348.0,0.0301861735
010007,MIZELL MEMORIAL HOSPITAL,OPP,AL,36467,Acute Care Hospitals,Voluntary non-profit - Private,mizell memorial hospital,,,,,,,,cms_gov,high,010007,45.0,1258.0,,20060743.0,0.1079662764
010008,CRENSHAW COMMUNITY HOSPITAL,LUVERNE,AL,36049,Acute Care Hospitals,Proprietary,crenshaw community hospital,,,,,,,,cms_gov,high,010008,29.0,291.0,,8393749.0,0.1077519005
010011,ST. VINCENT'S EAST,BIRMINGHAM,AL,35235,Acute Care Hospitals,Voluntary non-profit - Private,st vincents east,Ascension,Ascension Travel Program,Internal,True,Epic,,,cms_gov,high,010011,286.0,13109.0,ASCENSION,249098345.0,0.0677325509
010012,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,35968,Acute Care Hospitals,Proprietary,dekalb regional medical center,Quorum Health Corporation,,,,,,,cms_gov,high,010012,97.0,2556.0,QUORUM HEALTH CORP,50282630.0,0.0617527101
010016,SHELBY BAPTIST MEDICAL CENTER,ALABASTER,AL,35007,Acute Care Hospitals,Voluntary non-profit - Private,shelby baptist medical center,Tenet Healthcare,Trusted Resource Associates,Internal,True,Cerner,,,cms_gov,high,010016,212.0,7249.0,TENET HEALTHCARE,158264421.0,0.0746671387
010018,CALLAHAN EYE HOSPITAL,BIRMINGHAM,AL,35233,Acute Care Hospitals,Voluntary non-profit - Private,callahan eye hospital,UAB Health System,,,,,,,cms_gov,high,010018,6.0,91.0,UAB HEALTH SYSTEM,97198126.0,
010019,HELEN KELLER HOSPITAL,SHEFFIELD,AL,35660,Acute Care Hospitals,Government - Hospital District or Authority,helen keller hospital,Huntsville Hospital Health System,,,,,,,cms_gov,high,010019,178.0,6389.0,HEALTHGROUP OF ALABAMA,93652837.0,0.0545371695
